	host_response_time	cancellation_policy	host_is_superhost	host_has_profile_pic	host_identity_verified	is_location_exact	instant_bookable	require_guest_profile_picture	require_guest_phone_verification	24-Hour_Check-in	Air_Conditioning	Breakfast	Buzzer/Wireless_Intercom	Cable_TV	Carbon_Monoxide_Detector	Cat(s)	Dog(s)	Dryer	Elevator_in_Building	Essentials	Family/Kid_Friendly	Fire_Extinguisher	First_Aid_Kit	Free_Parking_on_Premises	Gym	Hair_Dryer	Hangers	Heating	Hot_Tub	Indoor_Fireplace	Internet	Iron	Kitchen	Laptop_Friendly_Workspace	Pets_Allowed	Pets_live_on_this_property	Safety_Card	Shampoo	Smoke_Detector	Suitable_for_Events	TV	Washer	Wheelchair_Accessible	Wireless_Internet	property_type_Apartment	property_type_House	room_type_Entire_home/apt	room_type_Private_room	bed_type_Real_Bed
1062	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1
1064	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1
1065	0	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1066	2	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	1
1067	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1068	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0
1069	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1
1070	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
1071	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1072	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1
1073	0	2	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1
1075	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1
1076	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1
1077	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1
1078	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1079	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1
1080	2	0	0	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1
1081	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1
1082	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1
1083	2	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1
1085	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1086	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1
1088	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1089	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1
1091	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1
1092	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1093	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1
1094	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1
1095	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1096	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
1097	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1
1099	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1
1100	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1
1101	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
1102	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1
1103	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1
1104	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1105	0	2	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0
1106	0	2	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	1
1108	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1
1109	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1
1110	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1
1111	2	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1
1112	0	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1113	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1
1115	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1
1118	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
1119	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1
1121	2	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1
1122	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1
1123	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1
1124	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
1126	2	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1
1127	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1128	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	1	1
1130	0	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1
1132	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1133	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	1	0
1134	2	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1
1135	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1
1136	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
1137	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1
1138	0	2	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1
1140	0	2	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1
1143	2	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1
1144	2	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1
1145	0	2	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
1148	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1
1149	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1
1151	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1
1153	1	2	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1
1155	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1
1156	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1
1157	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1
1158	0	2	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1
1159	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1
1160	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1
1161	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1
1162	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1
1163	2	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
1164	2	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1
1165	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1
1166	0	2	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1
1167	0	2	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	1
1169	2	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1
1171	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
1172	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
1173	2	1	0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1
1175	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1
1177	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	1	0	1	0	1	1
1178	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	1
1179	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1
1180	2	2	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1
1182	0	2	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
1183	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	1
1186	1	2	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1
1187	2	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	1
1188	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
1190	2	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1
1191	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1
1193	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
1194	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0
1195	1	2	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1196	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1
1198	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1
1199	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1
1200	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1
1201	2	2	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0
1202	2	2	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
1203	2	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
1204	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1
1206	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	1
1207	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1
1208	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1
1209	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1210	1	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1
1211	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1
1212	2	2	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1
1213	2	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0
1214	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1
1215	1	2	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1
1217	1	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1
1218	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1219	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1
1220	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1
1221	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1222	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
1223	2	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1
1225	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1
1226	1	2	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1227	0	1	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1
1228	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1
1229	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	1
1230	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1
